gamma,h_opt,h_0
0.0,0.9890434145927429,0.6393032073974609
0.5,0.9853280186653137,0.8549590706825256
1.0,0.9808787703514099,0.9227350950241089
1.5,0.9864444136619568,0.9489008188247681
2.0,0.9875312447547913,0.9603055119514465
2.5,0.9872393608093262,0.9656527638435364
3.0,0.9864031672477722,0.9681782126426697
3.5,0.9853174090385437,0.9692589044570923
4.0,0.9840919375419617,0.9695287942886353
4.5,0.9827825427055359,0.9693155884742737
5.0,0.9814169406890869,0.9687960743904114
5.5,0.979511559009552,0.9680635333061218
6.0,0.97819584608078,0.9671826362609863
6.5,0.9768182635307312,0.9661828875541687
7.0,0.9754037857055664,0.965087890625
7.5,0.9739542007446289,0.9639064073562622
8.0,0.9732069373130798,0.962648332118988
8.5,0.9716523289680481,0.9613192677497864
9.0,0.9700391292572021,0.9599226713180542
9.5,0.9683744311332703,0.958459198474884
10.0,0.9666526317596436,0.9569339752197266
10.5,0.9648892879486084,0.9553443789482117
11.0,0.9630638957023621,0.9536985754966736
11.5,0.9611995816230774,0.9519928693771362
12.0,0.9592810273170471,0.9502285122871399
12.5,0.9573218822479248,0.9484139084815979
13.0,0.9553090333938599,0.9465406537055969
13.5,0.953252375125885,0.9446169137954712
14.0,0.951156497001648,0.9426437020301819
14.5,0.949013888835907,0.9406219124794006
15.0,0.9468286633491516,0.9385518431663513
15.5,0.9446088671684265,0.9364414811134338
16.0,0.9423483610153198,0.9342840313911438
16.5,0.9400439262390137,0.93208247423172
17.0,0.9377134442329407,0.9298447370529175
17.5,0.9353423118591309,0.9275689125061035
18.0,0.9329434037208557,0.9252583980560303
18.5,0.9305077791213989,0.9229055643081665
19.0,0.928048849105835,0.9205271005630493
19.5,0.9255605340003967,0.9181124567985535
20.0,0.923039436340332,0.9156701564788818
